socpOptval,LTROptval,RTROptval,ltr_err,rtr_err
9.10705655800726,9.10705634214937,9.10707767521035,2.37022674021995e-08,2.31877368413299e-06
9.86068894052483,9.86068469055754,9.86069571051339,4.31001050664883e-07,6.86563444166563e-07
10.8062087874277,10.8062118625065,10.806214917617,2.84565923215803e-07,5.67284000712859e-07
12.2730413039071,12.273040644337,12.2730706569702,5.37413699956275e-08,2.3916698749476e-06
12.829425043371,12.8294236252153,12.8294590425481,1.10539299609236e-07,2.6500935927162e-06
13.2144402483416,13.2144345645072,13.2144663207131,4.30122972306471e-07,1.97302125972039e-06
14.5081732096742,14.5081721710831,14.5082051700312,7.15866272860731e-08,2.20292082976288e-06
15.1737441473545,15.1737403711406,15.1737659345221,2.48865002952647e-07,1.43584651245855e-06
16.5859240311315,16.5859329617262,16.585954657364,5.38444208144193e-07,1.84651952123247e-06
17.1619219600087,17.1619210080928,17.1619566741752,5.54667465331739e-08,2.02274352394959e-06
17.7849210107573,17.7849237620339,17.7849581838564,1.54697151790898e-07,2.09014698590329e-06
19.0336582877343,19.0336472376832,19.0336915270891,5.80553195581323e-07,1.74634609274878e-06
19.1658653858669,19.1658028892518,19.1659113974423,3.26082928367845e-06,2.40070429947686e-06
21.2383530124563,21.2383330119636,21.2383927734627,9.41715804822705e-07,1.87213228906108e-06
21.6730703248646,21.6730859647425,21.6731136277034,7.21627237781959e-07,1.99800204363573e-06
22.3569073422269,22.3569095489693,22.3569576527603,9.87051722681708e-08,2.25033510548995e-06
23.0204298577938,23.020436683482,23.0204770395212,2.96505676353523e-07,2.04955892045408e-06
24.3509685368147,24.3509627509251,24.3510140478975,2.37604084290569e-07,1.86896396874154e-06
24.9383178113275,24.9383195569586,24.9383682158747,6.99979478973222e-08,2.02116868946267e-06
26.4303700639077,26.4303678835357,26.4304209992988,8.24949502772374e-08,1.92715391273085e-06
26.859621941733,26.8596698583984,26.8596829930852,1.78396648583268e-06,2.27297883186007e-06
