,datasize,ssdp_mr,ssdp_std
0,150.0,-5.772120012008343,0.0007068846011708222
1,240.0,-5.650938159564137,0.0004703021473677859
2,330.0,-5.6611189151393955,0.0009703360209184675
3,420.0,-5.660598160307219,0.00052159730058535
4,510.0,-5.871689681358708,0.00039771227699925626
5,600.0,-5.876600195379587,0.0007396864502624078
6,690.0,-5.8846583530090015,0.00046246821968449076
7,780.0,-5.8682607108274984,0.0006700910588637349
8,870.0,-5.9230453162769745,0.0006026813397620127
9,960.0,-6.027641192086914,0.0005102435866459102
10,1050.0,-5.803627869230564,3.502940176125852e-05
11,1140.0,-5.95220627456391,0.0004997036288545634
12,1230.0,-5.844639238198185,0.0005003383300490516
13,1320.0,-5.907316859001859,0.00048719876188663575
14,1410.0,-6.090254054619446,0.00045748324795273014
15,1500.0,-5.976646067370004,0.0004956103416305569
