socpOptval,LTROptval,RTROptval,ltr_err,rtr_err
1.92417122601762,1.92413226509252,1.92418860463731,2.02481590911544e-05,9.03174283654449e-06
2.07450124082893,2.0745065671359,2.07452407281762,2.56751206848724e-06,1.1006013512866e-05
2.27550618527284,2.27551180816208,2.27557756351398,2.47104986229551e-06,3.13680716868238e-05
2.58733058766083,2.58732968159238,2.58735497143025,3.5019431006121e-07,9.42429604245855e-06
2.71015797836324,2.71015755123008,2.71019666787397,1.5760452646953e-07,1.42757400259972e-05
2.78506092769769,2.7850468017903,2.78515133732617,5.07202813641736e-06,3.24623521086041e-05
3.0582275543707,3.05823420030065,3.05828683576692,2.17313127547598e-06,1.93842332411979e-05
3.19956007974168,3.19957867454323,3.19966746913415,5.81167444495443e-06,3.35637993330757e-05
3.50099617844996,3.50098522256376,3.50104898528771,3.12936251355058e-06,1.50833748613994e-05
3.60730027843176,3.60730111903285,3.60737989799236,2.33027758730357e-07,2.20717862275407e-05
3.74191939944994,3.74192261166245,3.74202426518605,8.58439792396105e-07,2.8024584422009e-05
4.00938496292759,4.00938366518603,4.00946941049042,3.236759681464e-07,2.10624730745068e-05
4.02305625412676,4.02307208819693,4.02317937948683,3.93583116222102e-06,3.06049312492238e-05
4.48263489098946,4.48286566464594,4.48269689493463,5.14816981732081e-05,1.38320310884188e-05
4.56846515718335,4.56846496489379,4.56858261798625,4.20906254546722e-08,2.57112178510106e-05
4.7018292893516,4.7018626011486,4.70195126324179,7.08485888300841e-06,2.59417947114258e-05
4.84903557774191,4.84890628413923,4.84918403687843,2.6663776871042e-05,3.06162192743991e-05
5.1339161230996,5.13389941123387,5.13403884508516,3.25518869656826e-06,2.3904166452109e-05
5.24658339405075,5.24658258345953,5.24672680119256,1.54498873549623e-07,2.73334341679274e-05
5.57340903924303,5.57341658729347,5.57353769947877,1.35429687423421e-06,2.30846569545313e-05
5.65752568779487,5.65752769776955,5.6576808337406,3.55274511598537e-07,2.74229326187398e-05
