m_list,n_list,SOCPtime,time_eig_list,LTRtime,RTRtime,ratio1,ratio2
2000,1000,0.334,0.071,0.003,0.089,111,30
4000,2000,0.76,0.407,0.004,0.121,190,30
8000,4000,4.545,3.312,0.008,0.258,568,32
12000,6000,14.375,10.327,0.009,0.227,1597,25
16000,8000,24.346,21.613,0.014,0.34,1739,24
20000,10000,45.599,39.977,0.016,0.326,2850,20
30000,15000,148.608,127.759,0.028,0.947,5307,34
40000,20000,338.119,283.882,0.048,1.241,7044,26
50000,25000,684.654,563.812,0.061,2.254,11224,37
60000,30000,1106.028,899.099,0.083,3.869,13326,47
